date,ta,rh,vpd,sw_in,ppfd_in,ws,swc_shallow,swc_deep,ext_rad,SapFlow
2016/1/1 0:00,-0.549,77.9,0.129687762,12.133,0,2.278,0.140736111,0.166,0,0.085701892
2016/1/1 0:30,-0.592,76.8,0.135715378,12.19,0,2.25,0.140375,0.167,0,0.005234594
2016/1/1 1:00,-0.627,77.1,0.133617893,12.174,0,2.272,0.140222222,0.168,0,0.004834813
2016/1/1 1:30,-0.671,77.5,0.130861931,12.145,0,2.165,0.140298611,0.167,0,0.039604936
2016/1/1 2:00,-0.681,76.4,0.137159197,12.223,0,2.112,0.139888889,0.167,0,0.039015322
2016/1/1 2:30,-0.646,75.2,0.144503064,12.157,0,1.979,0.139993056,0.167,0,0.131560262
2016/1/1 3:00,-0.59,74.9,0.14685148,12.167,0,2.105,0.140069444,0.167,0,0.081613999
2016/1/1 3:30,-0.519,74.5,0.149968271,12.205,0,2.05,0.139659722,0.166,0,0.130074108
2016/1/1 4:00,-0.451,73.9,0.154261581,12.224,0,2.003,0.139631944,0.167,0,0.028865113
2016/1/1 4:30,-0.415,75.4,0.145778804,12.244,0,1.972,0.139298611,0.166,0,0.067976868
2016/1/1 5:00,-0.343,76.7,0.13880278,12.286,0,2.571,0.139069444,0.166,0,0.063854999
2016/1/1 5:30,-0.307,78.1,0.130805897,12.305,0,3.187,0.139583333,0.167,0,0.063854999
2016/1/1 6:00,-0.32,79.9,0.119940896,12.239,0,3.839,0.138993056,0.166,0,0.063854999
2016/1/1 6:30,-0.538,80.9,0.112173265,12.181,0,3.482,0.138993056,0.167,0,0.063854999
2016/1/1 7:00,-0.62,80.2,0.115589063,12.252,0,2.854,0.138993056,0.165,0,0.063854999
2016/1/1 7:30,-0.615,77.9,0.129063276,12.18,0,2.997,0.138993056,0.165,0,0.063854999
2016/1/1 8:00,-0.679,76.1,0.138923082,12.127,0,3.32,0.138763889,0.165,0,0.063854999
2016/1/1 8:30,-0.743,74.6,0.146951905,12.138,0,3.301,0.138583333,0.166,0,0.027119225
2016/1/1 9:00,-0.849,75,0.14351874,12.142,0,3.39,0.138222222,0.166,0,0.027119225
2016/1/1 9:30,-0.915,73.4,0.151966761,12.152,0,4.098,0.137993056,0.165,0,0.03819805
2016/1/1 10:00,-1.072,73.7,0.14853153,12.024,0,2.818,0.137916667,0.166,0,0.010988271
2016/1/1 10:30,-1.194,74.4,0.143287983,12.136,0,2.637,0.138354167,0.165,0,0.015657735
